[2026-07-18T17:49:46.028Z] GET http://localhost:4600/api/game-status → 200 (21ms, 1787B)
[2026-07-18T17:49:54.353Z] GET http://localhost:4600/api/game-status → 200 (20ms, 1787B)
[2026-07-18T17:49:55.576Z] GET http://localhost:4600/api/game-status → 200 (21ms, 1787B)
[2026-07-18T17:49:56.801Z] GET http://localhost:4600/api/game-status → 200 (22ms, 1787B)
[2026-07-18T17:49:58.025Z] GET http://localhost:4600/api/game-status → 200 (17ms, 1787B)
[2026-07-18T17:49:59.243Z] GET http://localhost:4600/api/game-status → 200 (14ms, 1787B)
[2026-07-18T17:50:00.458Z] GET http://localhost:4600/api/game-status → 200 (14ms, 1787B)
[2026-07-18T17:50:01.673Z] GET http://localhost:4600/api/game-status → 200 (19ms, 1787B)
[2026-07-18T17:50:02.894Z] GET http://localhost:4600/api/game-status → 200 (29ms, ?B)
[2026-07-18T17:50:04.127Z] GET http://localhost:4600/api/game-status → 200 (138ms, 2055B)
[2026-07-18T17:50:21.315Z] GET http://localhost:4600/api/game-status → 200 (15ms, 1956B)
[2026-07-18T17:50:22.532Z] GET http://localhost:4600/api/game-status → 200 (19ms, 1956B)
[2026-07-18T17:50:23.754Z] GET http://localhost:4600/api/game-status → 200 (23ms, 1956B)
[2026-07-18T17:50:24.979Z] GET http://localhost:4600/api/game-status → 200 (17ms, 1956B)
[2026-07-18T17:50:26.199Z] GET http://localhost:4600/api/game-status → 200 (17ms, 1956B)
[2026-07-18T17:50:27.419Z] GET http://localhost:4600/api/game-status → pending (?ms, ?B)
[2026-07-18T17:50:28.643Z] GET http://localhost:4600/api/game-status → 200 (22ms, 1956B)
[2026-07-18T17:50:29.869Z] GET http://localhost:4600/api/game-status → 200 (50ms, 1956B)
[2026-07-18T17:50:31.124Z] GET http://localhost:4600/api/game-status → 200 (47ms, 1956B)
[2026-07-18T17:50:32.365Z] GET http://localhost:4600/api/game-status → 200 (23ms, 1956B)
[2026-07-18T17:50:49.796Z] GET http://localhost:4600/api/game-status → 200 (15ms, 1956B)
[2026-07-18T17:50:51.013Z] GET http://localhost:4600/api/game-status → 200 (18ms, 1956B)
[2026-07-18T17:50:52.233Z] GET http://localhost:4600/api/game-status → 200 (19ms, 1956B)
[2026-07-18T17:50:53.456Z] GET http://localhost:4600/api/game-status → 200 (22ms, 1956B)
[2026-07-18T17:50:54.682Z] GET http://localhost:4600/api/game-status → 200 (22ms, 2109B)
[2026-07-18T17:50:55.904Z] GET http://localhost:4600/api/game-status → 200 (13ms, 2225B)
[2026-07-18T17:51:08.464Z] GET http://localhost:4600/api/game-status → 200 (17ms, 2225B)
[2026-07-18T17:51:11.484Z] GET http://localhost:4600/api/game-status → 200 (22ms, 2225B)
[2026-07-18T17:51:14.510Z] GET http://localhost:4600/api/game-status → 200 (62ms, 2225B)
[2026-07-18T17:51:18.928Z] GET http://localhost:4600/api/game-status → 200 (12ms, 2225B)
[2026-07-18T17:51:21.944Z] GET http://localhost:4600/api/game-status → pending (?ms, ?B)
[2026-07-18T17:51:24.965Z] GET http://localhost:4600/api/game-status → 200 (17ms, 2225B)
[2026-07-18T17:51:34.137Z] GET http://localhost:4600/api/game-status → 200 (13ms, 2225B)
[2026-07-18T17:51:37.153Z] GET http://localhost:4600/api/game-status → 200 (16ms, 2225B)
[2026-07-18T17:51:47.839Z] GET http://localhost:4600/api/game-status → 200 (13ms, 2225B)
[2026-07-18T17:51:50.856Z] GET http://localhost:4600/api/game-status → 200 (18ms, 2225B)
[2026-07-18T17:51:53.876Z] GET http://localhost:4600/api/game-status → 200 (15ms, 2225B)
[2026-07-18T17:51:57.388Z] GET http://localhost:4600/api/game-status → 200 (20ms, 2225B)
[2026-07-18T17:52:00.411Z] GET http://localhost:4600/api/game-status → 200 (26ms, 2225B)
[2026-07-18T17:52:11.241Z] GET http://localhost:4600/api/game-status → 200 (15ms, 2225B)
[2026-07-18T17:52:14.259Z] GET http://localhost:4600/api/game-status → 200 (17ms, 2225B)
[2026-07-18T17:52:17.279Z] GET http://localhost:4600/api/game-status → 200 (35ms, 2225B)
[2026-07-18T17:52:22.527Z] GET http://localhost:4600/api/game-status → 200 (13ms, 2225B)
[2026-07-18T17:52:25.544Z] GET http://localhost:4600/api/game-status → 200 (21ms, 2225B)
[2026-07-18T17:52:28.566Z] GET http://localhost:4600/api/game-status → 200 (12ms, 2225B)
[2026-07-18T17:52:32.942Z] GET http://localhost:4600/api/game-status → 200 (18ms, 2225B)
[2026-07-18T17:52:35.963Z] GET http://localhost:4600/api/game-status → 200 (14ms, 2225B)
[2026-07-18T17:52:37.111Z] POST http://localhost:4600/api/action → 200 (7ms, 11B)
[2026-07-18T17:52:37.118Z] GET http://localhost:4600/api/game-status → 200 (17ms, 2169B)
[2026-07-18T17:52:38.337Z] GET http://localhost:4600/api/game-status → 200 (15ms, 2169B)
[2026-07-18T17:52:41.769Z] GET http://localhost:4600/api/game-status → pending (?ms, ?B)
[2026-07-18T17:52:42.991Z] GET http://localhost:4600/api/game-status → 200 (16ms, 2169B)
[2026-07-18T17:52:44.210Z] GET http://localhost:4600/api/game-status → 200 (15ms, 2169B)
[2026-07-18T17:52:45.428Z] GET http://localhost:4600/api/game-status → 200 (20ms, 2169B)
[2026-07-18T17:52:46.650Z] GET http://localhost:4600/api/game-status → 200 (17ms, 2169B)
[2026-07-18T17:52:47.870Z] GET http://localhost:4600/api/game-status → 200 (45ms, 2169B)
[2026-07-18T17:52:49.118Z] GET http://localhost:4600/api/game-status → 200 (33ms, 2169B)
[2026-07-18T17:52:50.353Z] GET http://localhost:4600/api/game-status → 200 (18ms, 2169B)
[2026-07-18T17:52:58.866Z] GET http://localhost:4600/api/game-status → 200 (26ms, 2169B)
[2026-07-18T17:53:00.094Z] GET http://localhost:4600/api/game-status → 200 (20ms, 2169B)
[2026-07-18T17:53:01.317Z] GET http://localhost:4600/api/game-status → 200 (17ms, 2169B)
[2026-07-18T17:53:02.538Z] GET http://localhost:4600/api/game-status → 200 (19ms, 2169B)
[2026-07-18T17:53:03.760Z] GET http://localhost:4600/api/game-status → 200 (21ms, 2169B)
[2026-07-18T17:53:04.984Z] GET http://localhost:4600/api/game-status → 200 (21ms, 2169B)
[2026-07-18T17:53:33.912Z] GET http://localhost:4600/api/game-status → 200 (13ms, 2168B)
[2026-07-18T17:53:35.129Z] GET http://localhost:4600/api/game-status → 200 (16ms, 2223B)
[2026-07-18T17:53:38.148Z] GET http://localhost:4600/api/game-status → 200 (18ms, 2223B)
[2026-07-18T17:53:41.168Z] GET http://localhost:4600/api/game-status → 200 (21ms, 2223B)
[2026-07-18T17:53:51.375Z] GET http://localhost:4600/api/game-status → 200 (15ms, 2096B)
[2026-07-18T17:53:52.591Z] GET http://localhost:4600/api/game-status → 200 (14ms, 2096B)
[2026-07-18T17:53:53.808Z] GET http://localhost:4600/api/game-status → 200 (14ms, 2096B)
[2026-07-18T17:53:55.024Z] GET http://localhost:4600/api/game-status → 200 (17ms, 2096B)
[2026-07-18T17:53:56.244Z] GET http://localhost:4600/api/game-status → pending (?ms, ?B)
[2026-07-18T17:53:57.477Z] GET http://localhost:4600/api/game-status → 200 (15ms, 2096B)
[2026-07-18T17:54:32.931Z] GET http://localhost:4600/api/game-status → 200 (22ms, 2096B)
[2026-07-18T17:54:34.154Z] GET http://localhost:4600/api/game-status → 200 (19ms, 2096B)
[2026-07-18T17:54:35.375Z] GET http://localhost:4600/api/game-status → 200 (16ms, 2096B)
[2026-07-18T17:54:36.592Z] GET http://localhost:4600/api/game-status → 200 (16ms, 2096B)
[2026-07-18T17:54:37.810Z] GET http://localhost:4600/api/game-status → 200 (16ms, 2096B)
[2026-07-18T17:54:39.026Z] GET http://localhost:4600/api/game-status → 200 (13ms, 2096B)
[2026-07-18T17:54:40.243Z] GET http://localhost:4600/api/game-status → 200 (22ms, 2096B)
[2026-07-18T17:54:41.487Z] GET http://localhost:4600/api/game-status → 200 (62ms, 2096B)
